index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
1,Morning Fog Chardonnay 2003,Wente Vineyards,United States,3.9,29592,"28,335",https://www.vivino.com/wente-vineyards-morning-fog-chardonnay/w/1720?year=2003&price_id=2895323
2,Moscato,Barefoot,United States,3.8,19902,"18,751",https://www.vivino.com/barefoot-moscato/w/1201651?price_id=7943990
3,Pouilly-Fuissé 2002,Louis Jadot,France,4.1,19678,"964,546",https://www.vivino.com/louis-jadot-pouilly-fuisse/w/2991?year=2002&price_id=35329545
4,Pouilly-Fuissé 1993,Louis Jadot,France,4.1,19678,"649,214",https://www.vivino.com/louis-jadot-pouilly-fuisse/w/2991?year=1993&price_id=35329518
5,Pouilly-Fuissé 2000,Louis Jadot,France,4.1,19678,"958,358",https://www.vivino.com/louis-jadot-pouilly-fuisse/w/2991?year=2000&price_id=35329564
6,Blanco 2006,El Coto,Spain,3.5,17617,"23,335",https://www.vivino.com/el-coto-blanco/w/8617?year=2006&price_id=16059718
7,Chardonnay 2004,Vint by Robert Mondavi Private Selection,United States,3.6,16485,"37,085",https://www.vivino.com/vint-by-robert-mondavi-private-selection-chardonnay/w/4000?year=2004&price_id=2895314
8,Masianco 2005,Masi,Italy,3.6,14738,"37,502",https://www.vivino.com/masi-veneto-masianco/w/21950?year=2005&price_id=2805031
9,Napa Valley Sauvignon Blanc 2004,Duckhorn,United States,4.0,13360,"68,754",https://www.vivino.com/duckhorn-napa-valley-sauvignon-blanc/w/1128386?year=2004&price_id=2754285
10,Gelblack Riesling Trocken 2006,Schloss Johannisberg,Germany,4.0,13091,"45,002",https://www.vivino.com/schloss-johannisberg-gelblack-riesling-trocken/w/2130558?year=2006&price_id=2804923
11,La Segreta Il Bianco 2003,Planeta,Italy,3.6,12571,"35,002",https://www.vivino.com/planeta-la-segreta-il-bianco/w/4991?year=2003&price_id=14539463
12,Riva Ranch Chardonnay 2002,Wente Vineyards,United States,4.0,12415,"43,752",https://www.vivino.com/wente-vineyards-riva-ranch-chardonnay/w/1742845?year=2002&price_id=2894897
13,Muga Blanco 2006,Muga,Spain,3.7,12268,"24,168",https://www.vivino.com/muga-muga-blanco/w/1287516?year=2006&price_id=2895092
14,Founders' Estate Chardonnay 2005,Beringer,United States,3.7,10354,"41,044",https://www.vivino.com/beringer-founders-estate-chardonnay/w/1133291?year=2005&price_id=2754642
15,Riesling Relax 2004,Schmitt Söhne,Germany,3.8,10079,"22,501",https://www.vivino.com/schmitt-sohne-gmbh-weinkellerei-riesling-relax/w/14758?year=2004&price_id=9353562
16,Sauvignon Blanc 2019,Cloudy Bay,New Zealand,4.2,9236,"52,920",https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2019&price_id=20230408
17,Sauvignon Blanc 2016,Kim Crawford,New Zealand,4.0,8201,"48,336",https://www.vivino.com/kim-crawford-sauvignon-blanc/w/66534?year=2016&price_id=15446460
18,Grand Reserve Chardonnay 2004,Kendall-Jackson,United States,3.8,8160,"58,337",https://www.vivino.com/kendall-jackson-grand-reserve-chardonnay/w/2121?year=2004&price_id=14549866
19,Chardonnay 2001,Robert Mondavi Winery,United States,3.8,8140,"56,878",https://www.vivino.com/robert-mondavi-winery-chardonnay/w/2422?year=2001&price_id=14541993
20,Sauvignon Blanc 2016,Cloudy Bay,New Zealand,4.1,7690,"52,086",https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2016&price_id=8976760
21,Tenuta Valleselle Arnasi Pinot Grigio 2006,Tinazzi,Italy,4.2,7188,"50,003",https://www.vivino.com/tinazzi-tenuta-valleselle-arnasi-pinot-grigio/w/1125487?year=2006&price_id=2895362
22,Chardonnay 2002,Toasted Head,United States,3.6,7140,"35,419",https://www.vivino.com/toasted-head-chardonnay/w/1138765?year=2002&price_id=2895035
23,Lafóa Sauvignon 2001,Colterenzio (Schreckbichl),Italy,4.2,6807,"133,341",https://www.vivino.com/colterenzio-schreckbichl-lafoa-sauvignon/w/11170?year=2001&price_id=14650456
24,Reserva Chardonnay 2006,Terrazas de los Andes,Argentina,3.7,6710,"37,502",https://www.vivino.com/terrazas-de-los-andes-reserva-chardonnay/w/1132928?year=2006&price_id=2895185
25,Casal di Serra Verdicchio dei Castelli di Jesi Classico Superiore 2009,Umani Ronchi,Italy,3.8,6547,"39,586",https://www.vivino.com/umani-ronchi-casal-di-serra-verdicchio-dei-castelli-di-jesi-classico-superiore/w/3743?year=2009&price_id=21591930
26,Saint-Véran 1989,Joseph Drouhin,France,3.8,6478,"1,075,840",https://www.vivino.com/joseph-drouhin-saint-veran/w/24148?year=1989&price_id=36831576
27,Saint-Véran 2001,Joseph Drouhin,France,3.8,6478,"241,137",https://www.vivino.com/joseph-drouhin-saint-veran/w/24148?year=2001&price_id=36841181
28,Sauvignon Blanc 2007,Shaw + Smith,Australia,4.0,6176,"40,836",https://www.vivino.com/shaw-smith-sauvignon-blanc/w/31554?year=2007&price_id=2754167
29,Chardonnay 2002,Gallo Family Vineyards,United States,3.1,6014,"13,334",https://www.vivino.com/gallo-family-vineyards-chardonnay/w/38484?year=2002&price_id=2895309
30,Chardonnay 2000,Gallo Family Vineyards,United States,3.1,6014,"37,502",https://www.vivino.com/gallo-family-vineyards-chardonnay/w/38484?year=2000&price_id=2873823
31,Grand Selection Sauvignon Blanc 2006,Lapostolle,Chile,3.5,5975,"33,335",https://www.vivino.com/lapostolle-grand-selection-sauvignon-blanc/w/1808938?year=2006&price_id=2895341
32,M3 Chardonnay 2006,Shaw + Smith,Australia,4.0,5914,"56,253",https://www.vivino.com/shaw-smith-m3-chardonnay/w/31564?year=2006&price_id=2754247
33,Grande Cuvée Chablis 1er Cru 2003,La Chablisienne,France,4.0,5761,"41,252",https://www.vivino.com/la-chablisienne-grande-cuvee-chablis-1er-cru/w/1711342?year=2003&price_id=7953588
34,Sauvignon Blanc 2020,Kim Crawford,New Zealand,3.9,5618,"48,336",https://www.vivino.com/kim-crawford-sauvignon-blanc/w/66534?year=2020&price_id=30008985
35,Sauvignon Blanc 2022,Cloudy Bay,New Zealand,4.2,5494,"55,003",https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2022&price_id=30635713
36,Napa Valley Chardonnay 2005,Beringer,United States,3.8,5364,"48,128",https://www.vivino.com/beringer-napa-valley-chardonnay/w/1142704?year=2005&price_id=2754417
37,Private Bin Sauvignon Blanc 2022,Villa Maria,New Zealand,4.0,5182,"35,835",https://www.vivino.com/villa-maria-auckland-private-bin-sauvignon-blanc/w/39034?year=2022&price_id=35900889
38,I Frati Lugana 2022,Cà dei Frati,Italy,4.3,4976,"22,259",https://www.vivino.com/ca-dei-frati-i-frati-lugana/w/1136902?year=2022&price_id=36485562
39,Sauvignon Blanc 2015,Cloudy Bay,New Zealand,4.1,4926,"52,086",https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2015&price_id=4550240
40,Max Reserva Chardonnay 2004,Errazuriz,Chile,3.7,4732,"50,419",https://www.vivino.com/errazuriz-max-reserva-chardonnay/w/1994?year=2004&price_id=2895175
41,Sauvignon Blanc 2014,Cloudy Bay,New Zealand,4.1,4650,"50,003",https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2014&price_id=2754212
42,Graacher Himmelreich Riesling Kabinett 2004,Joh. Jos. Prüm,Germany,4.1,4642,"83,338",https://www.vivino.com/joh-jos-prum-graacher-himmelreich-riesling-kabinett/w/1604769?year=2004&price_id=14550341
43,Bin 311 Chardonnay 2004,Penfolds,Australia,3.8,4407,"83,338",https://www.vivino.com/penfolds-bin-311-chardonnay/w/1249?year=2004&price_id=2804702
44,Sauvignon Blanc 2007,Woodbridge by Robert Mondavi,United States,3.2,4311,"25,001",https://www.vivino.com/woodbridge-by-robert-mondavi-sauvignon-blanc/w/1647468?year=2007&price_id=2895233
45,Sancerre La Bourgeoise Blanc 2004,Henri Bourgeois,France,4.1,4154,"70,837",https://www.vivino.com/henri-bourgeois-sancerre-la-bourgeoise-blanc/w/1478314?year=2004&price_id=7944207
46,Grünlack Riesling Spätlese 2005,Schloss Johannisberg,Germany,4.2,4107,"75,004",https://www.vivino.com/schloss-johannisberg-grunlack-riesling-spatlese/w/1608522?year=2005&price_id=15466397
47,Riesling Alsace 2005,Cave de Turckheim,France,3.5,3746,"39,586",https://www.vivino.com/cave-de-turckheim-riesling-alsace/w/1207214?year=2005&price_id=14541465
48,Riesling Alsace 2001,Cave de Turckheim,France,3.5,3746,"62,503",https://www.vivino.com/cave-de-turckheim-riesling-alsace/w/1207214?year=2001&price_id=14541924
49,Riesling Alsace 2003,Cave de Turckheim,France,3.5,3746,"68,754",https://www.vivino.com/cave-de-turckheim-riesling-alsace/w/1207214?year=2003&price_id=14541460
50,Chablis 1er Cru 'Mont de Milieu' 2004,La Chablisienne,France,4.1,3681,"58,337",https://www.vivino.com/la-chablisienne-chablis-1er-cru-mont-de-milieu/w/16614?year=2004&price_id=7953666
51,Chablis 1er Cru 'Mont de Milieu' 2021,La Chablisienne,France,4.1,3681,"43,034",https://www.vivino.com/la-chablisienne-chablis-1er-cru-mont-de-milieu/w/16614?year=2021&price_id=35345630
52,Green Label Dry Riesling 2006,Deinhard,Germany,3.8,3611,"18,751",https://www.vivino.com/deinhard-green-label-dry-riesling/w/1138068?year=2006&price_id=2895010
53,Scharzhofberger Riesling Kabinett 2002,Egon Müller - Scharzhof,Germany,4.4,3548,"79,171",https://www.vivino.com/egon-muller-scharzhof-scharzhofberger-riesling-kabinett/w/86685?year=2002&price_id=2804967
54,Viña Esmeralda 2021,Familia Torres,Spain,3.9,3508,"25,835",https://www.vivino.com/familia-torres-vina-esmeralda/w/2628?year=2021&price_id=34692544
55,Fumaio (Sauvignon Blanc - Chardonnay) 2005,Banfi,Italy,3.6,3496,"32,502",https://www.vivino.com/banfi-fumaio-sauvignon-blanc-chardonnay/w/1133680?year=2005&price_id=2873670
56,Pinot Grigio Friuli Grave 2005,Pighin,Italy,3.6,3432,"31,252",https://www.vivino.com/fernando-pighin-pinot-grigio-friuli-grave/w/22558?year=2005&price_id=2873851
57,Pinot Gris 2008,Elk Cove,United States,3.9,3371,"45,836",https://www.vivino.com/elk-cove-pinot-gris/w/1719290?year=2008&price_id=14650532
58,Eaglehawk Chardonnay 2007,Wolf Blass,Australia,3.3,3359,"20,834",https://www.vivino.com/wolf-blass-eaglehawk-chardonnay/w/1130007?year=2007&price_id=2754245
59,Chardonnay 2005,Beringer,United States,3.6,3349,"27,293",https://www.vivino.com/beringer-california-chardonnay/w/1535?year=2005&price_id=2754520
60,Altkirch Chardonnay 2005,Colterenzio (Schreckbichl),Italy,3.7,3173,"40,836",https://www.vivino.com/colterenzio-schreckbichl-altkirch-chardonnay/w/11208?year=2005&price_id=14541138
61,Levarie Soave Classico 2003,Masi,Italy,3.4,3167,"29,168",https://www.vivino.com/masi-veneto-levarie-soave-classico/w/21984?year=2003&price_id=2895119
62,Pinot Grigio 2005,Colterenzio (Schreckbichl),Italy,3.7,3131,"41,669",https://www.vivino.com/colterenzio-schreckbichl-pinot-grigio/w/1197810?year=2005&price_id=15657809
63,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 1994,Château Latour-Martillac,France,4.0,2969,"84,094",https://www.vivino.com/fr-chateau-latour-martillac-pessac-leognan-blanc-grand-cru-classe-de-graves/w/2080908?year=1994&price_id=36851233
64,Von Buhl Riesling 2010,Reichsrat von Buhl,Germany,3.7,2961,"45,836",https://www.vivino.com/von-buhl-von-buhl-riesling/w/1430726?year=2010&price_id=14650459
65,Castillo Ygay Gran Reserva Especial Blanco 1998,Marqués de Murrieta,Spain,4.6,2898,"66,670",https://www.vivino.com/marques-de-murrieta-castillo-ygay-gran-reserva-especial-blanco/w/5177761?year=1998&price_id=14549868
66,Vouvray Clos du Bourg Sec 1971,Domaine Huet,France,4.1,2836,"630,665",https://www.vivino.com/domaine-huet-vouvray-clos-du-bourg-sec/w/17523?year=1971&price_id=25799936
67,Clos Mireille Blanc de Blancs 2023,Domaines Ott,France,4.1,2799,"59,282",https://www.vivino.com/domaines-ott-clos-mireille-blanc-de-blancs/w/1721379?year=2023&price_id=36822837
68,Twin Oaks Chardonnay 2005,Robert Mondavi Winery,United States,3.5,2716,"25,835",https://www.vivino.com/robert-mondavi-winery-twin-oaks-chardonnay/w/2553203?year=2005&price_id=14539414
69,Sémillon 2006,Brokenwood,Australia,3.7,2700,"32,918",https://www.vivino.com/au-brokenwood-semillon/w/1843911?year=2006&price_id=2754403
70,Riesling Trocken Brauneberger Juffer Sonnenuhr GG 2007,Fritz Haag,Germany,4.1,2480,"104,172",https://www.vivino.com/fritz-haag-riesling-trocken-brauneberger-juffer-sonnenuhr-gg/w/2242419?year=2007&price_id=2894905
71,Libaio Chardonnay 2004,Ruffino,Italy,3.5,2409,"26,251",https://www.vivino.com/ruffino-libaio-chardonnay/w/2193?year=2004&price_id=2804609
72,Chardonnay 2017,Alamos,Argentina,3.6,2371,"28,752",https://www.vivino.com/alamos-chardonnay/w/69694?year=2017&price_id=18930004
73,Chardonnay 2021,Planeta,Italy,4.2,2364,"46,105",https://www.vivino.com/planeta-chardonnay/w/4987?year=2021&price_id=36485481
74,Castello della Sala Bramìto Chardonnay 2017,Antinori,Italy,3.9,2321,"31,904",https://www.vivino.com/antinori-tuscany-castello-della-sala-bramito-chardonnay/w/1692?year=2017&price_id=36485513
75,Sauvignon Blanc 2023,Cloudy Bay,New Zealand,4.2,2316,"42,461",https://www.vivino.com/cloudy-bay-sauvignon-blanc/w/18978?year=2023&price_id=34540050
76,Blanc 1986,Château-Grillet,France,4.4,2291,"438,987",https://www.vivino.com/domaine-neyret-gachet-blanc/w/1776233?year=1986&price_id=36831569
77,Bordeaux Sauvignon 2003,Château Mezain,France,3.8,2060,"26,668",https://www.vivino.com/mezain-bordeaux-sauvignon/w/2286545?year=2003&price_id=8649870
78,Bannockburn Chardonnay 2023,Felton Road,New Zealand,4.0,2025,"59,367",https://www.vivino.com/felton-road-bannockburn-chardonnay/w/1136718?year=2023&price_id=36297607
79,Chardonnay 2022,Greywacke,New Zealand,4.0,1952,"37,101",https://www.vivino.com/greywacke-kevin-judd-chardonnay/w/1130871?year=2022&price_id=36539709
80,Sauvignon - Sémillon 2021,Pegasus Bay,New Zealand,3.9,1883,"23,082",https://www.vivino.com/pegasus-bay-winery-sauvignon-semillon/w/16114?year=2021&price_id=36378976
81,Louis Mel Sauvignon Blanc 2003,Wente Vineyards,United States,3.6,1826,"25,001",https://www.vivino.com/wente-vineyards-louis-mel-sauvignon-blanc/w/1901171?year=2003&price_id=2895137
82,Sauvignon Blanc 2012,Nobilo,New Zealand,3.8,1816,"37,502",https://www.vivino.com/nobilo-sauvignon-blanc-marlborough-white-wine-v/w/6120398?year=2012&price_id=15108258
83,Furmint 2008,Royal Tokaji,Hungary,3.7,1781,"57,503",https://www.vivino.com/royal-tokaji-furmint-tokaj/w/2194866?year=2008&price_id=14541789
84,Sanct Valentin Sauvignon 2016,St. Michael-Eppan,Italy,4.2,1701,"44,888",https://www.vivino.com/st-michael-eppan-sanct-valentin-sauvignon/w/1644452?year=2016&price_id=36485637
85,Pioneer Block 1 Foundation Sauvignon Blanc 2022,Saint Clair Family Estate,New Zealand,4.1,1674,"27,205",https://www.vivino.com/saint-clair-family-estate-pioneer-block-1-foundation-sauvignon-blanc/w/3261371?year=2022&price_id=36378981
86,To Kalon Vineyard Reserve Fumé Blanc 2007,Robert Mondavi Winery,United States,4.1,1674,"94,172",https://www.vivino.com/robert-mondavi-winery-to-kalon-vineyard-reserve-fume-blanc/w/2439?year=2007&price_id=14540610
87,Château-Chalon 1990,Berthet Bondet,France,4.1,1671,"185,490",https://www.vivino.com/berthet-bondet-chateau-chalon/w/1186030?year=1990&price_id=36237454
88,Château-Chalon 1995,Berthet Bondet,France,4.1,1671,"259,686",https://www.vivino.com/berthet-bondet-chateau-chalon/w/1186030?year=1995&price_id=31286961
89,Chardonnay 2003,Merryvale,United States,4.1,1666,"43,752",https://www.vivino.com/merryvale-vineyards-chardonnay/w/3085?year=2003&price_id=2895118
90,Madonna Liebfraumilch 2010,P. J. Valckenberg,Germany,3.5,1634,"16,668",https://www.vivino.com/pj-valckenberg-gmbh-madonna-liebfraumilch/w/1735621?year=2010&price_id=14650415
91,Sanct Valentin Sauvignon 2017,St. Michael-Eppan,Italy,4.1,1594,"70,837",https://www.vivino.com/st-michael-eppan-sanct-valentin-sauvignon/w/1644452?year=2017&price_id=18803727
92,Brolettino Lugana 2021,Cà dei Frati,Italy,4.2,1583,"29,604",https://www.vivino.com/ca-dei-frati-brolettino-lugana/w/1221332?year=2021&price_id=36485491
93,Lugana 2017,S. Cristina,Italy,4.0,1580,"50,691",https://www.vivino.com/it-s-cristina-lugana-lugana-white-wine-v/w/1127731?year=2017&price_id=36736904
94,Côtes-du-Rhône Blanc 2011,E. Guigal,France,3.6,1550,"32,502",https://www.vivino.com/e-guigal-cotes-du-rhone-blanc/w/7775?year=2011&price_id=7953771
95,Sauvignon Blanc 2008,Coopers Creek,New Zealand,3.9,1535,"35,002",https://www.vivino.com/coopers-creek-sauvignon-blanc/w/36814?year=2008&price_id=14539894
96,Réserve Entre-deux-Mers 2004,Château Sainte-Marie,France,3.6,1464,"22,918",https://www.vivino.com/chateau-sainte-marie-reserve-entre-deux-mers/w/735838?year=2004&price_id=15108244
97,Torrontes 2017,Crios,Argentina,3.7,1422,"35,419",https://www.vivino.com/crios-torrontes/w/1161922?year=2017&price_id=16829991
98,Varietal Chardonnay 2008,Indomita,Chile,3.3,1389,"22,293",https://www.vivino.com/indomita-varietal-chardonnay/w/1220903?year=2008&price_id=2895138
99,Châteauneuf-du-Pape Blanc 2007,Domaine Chante Cigale,France,3.9,1388,"41,669",https://www.vivino.com/domaine-chante-cigale-chateauneuf-du-pape-blanc/w/2075912?year=2007&price_id=7944138
100,Racines et Terroir Riesling 2010,Cave du Roi Dagobert,France,3.6,1383,"37,085",https://www.vivino.com/roi-dagobert-racines-terroir-riesling/w/1594433?year=2010&price_id=7953602
101,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 1988,Château Haut-Brion,France,4.5,1359,"1,261,330",https://www.vivino.com/haut-brion-pessac-leognan-blanc-grand-cru-classe-de-graves/w/1148846?year=1988&price_id=36841189
102,Riesling 2005,Schmitt Söhne,Germany,3.7,1348,"20,834",https://www.vivino.com/schmitt-sohne-gmbh-weinkellerei-riesling-mosel-saar-ruwer/w/14782?year=2005&price_id=8637348
103,Bordeaux Blanc Sec 2003,Dulong,France,3.3,1302,"26,668",https://www.vivino.com/dulong-bordeaux-blanc-sec/w/1444618?year=2003&price_id=14550184
104,Private Collection Sauvignon Blanc 2006,Saxenburg,South Africa,3.8,1277,"33,335",https://www.vivino.com/saxenburg-private-collection-sauvignon-blanc/w/1636020?year=2006&price_id=2895358
105,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2010,Château La Mission Haut-Brion,France,4.3,1266,"1,230,420",https://www.vivino.com/la-mission-haut-brion-pessac-leognan-blanc-grand-cru-classe-de-graves/w/4402538?year=2010&price_id=29198051
106,Chardonnay Diamond Label 2003,Rosemount,Australia,3.3,1238,"30,835",https://www.vivino.com/rosemount-chardonnay-diamond-label/w/68254?year=2003&price_id=14541390
107,Pinot Gris 2023,Greywacke,New Zealand,3.9,1236,"26,381",https://www.vivino.com/greywacke-kevin-judd-pinot-gris/w/1130872?year=2023&price_id=36685400
108,Diamond Label Traminer - Riesling 2004,Rosemount,Australia,3.8,1224,"22,918",https://www.vivino.com/rosemount-diamond-label-traminer-riesling/w/67844?year=2004&price_id=14540549
109,La Fuga Chardonnay Contessa Entellina 2021,Donnafugata,Italy,3.9,1213,"23,060",https://www.vivino.com/donnafugata-la-fuga-chardonnay-contessa-entellina/w/4787?year=2021&price_id=36485608
110,Chardonnay Bourbon Barrel Aged 2016,Vint by Robert Mondavi Private Selection,United States,4.0,1207,"41,669",https://www.vivino.com/vint-by-robert-mondavi-private-selection-chardonnay-bourbon-barrel-aged/w/5404705?year=2016&price_id=16730107
111,Arneis Roero 2018,Vietti,Italy,3.9,1202,"41,669",https://www.vivino.com/vietti-arneis-roero/w/77438?year=2018&price_id=23060268
112,Chardonnay 2001,Gallo Signature Series,United States,3.9,1192,"58,337",https://www.vivino.com/gallo-signature-series-chardonnay/w/1196226?year=2001&price_id=14549972
113,Toscana Bianco 2021,Ornellaia,Italy,4.5,1176,"408,077",https://www.vivino.com/ornellaia-toscana-bianco/w/4344177?year=2021&price_id=36840227
114,Basa Blanco 2016,Telmo Rodriguez,Spain,3.8,1170,"33,335",https://www.vivino.com/telmo-rodriguez-basa-blanco/w/63154?year=2016&price_id=20543733
115,Chardonnay 2006,Stone Cellars,United States,3.4,1169,"28,335",https://www.vivino.com/stone-cellars-chardonnay-california/w/73786?year=2006&price_id=2895124
116,Orvieto 2004,Sensi,Italy,3.1,1167,"24,168",https://www.vivino.com/sensi-orvieto/w/85042?year=2004&price_id=14541778
117,Soave Classico Colombara 2010,Zenato,Italy,3.7,1121,"33,335",https://www.vivino.com/zenato-soave-classico-colombara/w/1210722?year=2010&price_id=2804851
118,Fantini Edizione Bianco N.V.,Fantini,Italy,4.1,1118,"28,120",https://www.vivino.com/fantini-fantini-edizione-bianco/w/8532359?price_id=34814464
119,Moutere Chardonnay 2021,Neudorf Vineyards,New Zealand,4.2,1108,"107,197",https://www.vivino.com/neudorf-moutere-chardonnay/w/42584?year=2021&price_id=36481082
120,Riverbank Riesling 2006,Wente Vineyards,United States,3.7,1073,"25,835",https://www.vivino.com/wente-vineyards-riverbank-riesling/w/1736524?year=2006&price_id=2895325
121,Sauvignon Blanc 2010,Bidoli,Italy,3.6,1062,"75,004",https://www.vivino.com/bidoli-sauvignon-blanc/w/1193932?year=2010&price_id=14006695
122,Castello della Sala San Giovanni della Sala Classico Superiore 2019,Antinori,Italy,4.1,1044,"21,250",https://www.vivino.com/antinori-tuscany-castello-della-sala-san-giovanni-della-sala-classico-superiore/w/1693?year=2019&price_id=22697482
123,Masianco 2021,Masi,Italy,3.7,1038,"42,919",https://www.vivino.com/masi-veneto-masianco/w/21950?year=2021&price_id=33312599
124,Chardonnay 2004,Xanadu,Australia,3.9,1033,"41,252",https://www.vivino.com/xanadu-wines-chardonnay/w/1629737?year=2004&price_id=15135160
125,Riesling 2005,Best's,Australia,3.8,1010,"50,003",https://www.vivino.com/bests-riesling/w/96184?year=2005&price_id=2895169
126,Vintner's Collection Chardonnay 2015,Sterling Vineyards,United States,3.5,957,"37,502",https://www.vivino.com/sterling-vineyards-vintner-s-collection-chardonnay/w/1124954?year=2015&price_id=15803527
127,Bel Canto Dry Riesling 2023,Pegasus Bay,New Zealand,4.0,947,"32,978",https://www.vivino.com/pegasus-bay-winery-bel-canto-dry-riesling/w/1261670?year=2023&price_id=36363005
128,Feteasca Regala Sec 2011,Château Vartely,Moldova,3.6,926,"25,001",https://www.vivino.com/chateau-vartely-feteasca-regala-sec-md-moldova/w/4630427?year=2011&price_id=2804943
129,Pioneer Block 10 Twin Hills Chardonnay 2021,Saint Clair Family Estate,New Zealand,3.9,926,"28,855",https://www.vivino.com/saint-clair-family-estate-pioneer-block-10-twin-hills-chardonnay/w/1100184?year=2021&price_id=36363003
130,Wild Sauvignon 2015,Greywacke,New Zealand,4.2,920,"36,276",https://www.vivino.com/greywacke-kevin-judd-wild-sauvignon/w/1756010?year=2015&price_id=14005193
131,Chardonnay 2003,Cousiño-Macul,Chile,3.4,919,"31,252",https://www.vivino.com/cousino-macul-chardonnay/w/48414?year=2003&price_id=2895321
132,Dry Riesling 2023,Amisfield,New Zealand,3.9,918,"26,793",https://www.vivino.com/amisfield-dry-riesling/w/86253?year=2023&price_id=36237489
133,Domaene Gobelsburg Grüner Veltliner 2019,Schloss Gobelsburg,Austria,3.8,914,"36,669",https://www.vivino.com/schloss-gobelsburg-domaene-gobelsburg-gruner-veltliner/w/20131?year=2019&price_id=23660422
134,Estoras Grüner Veltliner 2011,Esterházy,Austria,3.8,913,"89,588",https://www.vivino.com/esterhazy-estoras-gruner-veltliner/w/4058411?year=2011&price_id=14650414
135,Lugana 2022,S. Cristina,Italy,4.2,909,"24,707",https://www.vivino.com/it-s-cristina-lugana-lugana-white-wine-v/w/1127731?year=2022&price_id=36736914
136,Riesling Spätlese 2005,Robert Weil,Germany,3.9,886,"70,837",https://www.vivino.com/robert-weil-riesling-spatlese/w/1183724?year=2005&price_id=16216705
137,Malvasia Salina Capofaro 2010,Tenuta Regaleali,Italy,4.2,877,"93,755",https://www.vivino.com/tenuta-regaleali-malvasia-salina-capofaro/w/1209688?year=2010&price_id=28072537
138,Pinot Gris 2007,Firesteed,United States,3.6,858,"34,377",https://www.vivino.com/firesteed-cellars-pinot-gris/w/15704?year=2007&price_id=14650508
139,The Winemaster's Sauvignon Blanc 2016,Nederburg,South Africa,3.5,849,"14,542",https://www.vivino.com/nederburg-estate-the-winemaster-s-sauvignon-blanc-coastal-region/w/1548031?year=2016&price_id=16860347
140,Sanct Valentin Chardonnay 2016,St. Michael-Eppan,Italy,4.2,830,"50,053",https://www.vivino.com/st-michael-eppan-sanct-valentin-chardonnay/w/2398590?year=2016&price_id=36485667
141,Baroness Nadine 2018,Rupert & Rothschild,South Africa,4.3,829,"81,255",https://www.vivino.com/rupert-and-rothschild-vignerons-baroness-nadine/w/12437?year=2018&price_id=23138369
142,Sauvignon Blanc 2023,Greywacke,New Zealand,4.1,815,"23,494",https://www.vivino.com/greywacke-kevin-judd-sauvignon-blanc/w/1128346?year=2023&price_id=34460470
143,Riesling Kabinett Armand 2004,Reichsrat von Buhl,Germany,3.8,810,"37,502",https://www.vivino.com/von-buhl-riesling-kabinett-armand/w/1403793?year=2004&price_id=2895103
144,Lugana 2019,Ottella,Italy,3.9,809,"19,573",https://www.vivino.com/ottella-lugana/w/1122030?year=2019&price_id=36485574
145,Mâcon-Villages 2013,Trénel,France,3.7,792,"41,669",https://www.vivino.com/trenel-fils-macon-villages/w/78504?year=2013&price_id=7953679
146,Châteauneuf-du-Pape Réservé Blanc 2012,Château Rayas,France,4.4,780,"927,448",https://www.vivino.com/chateau-rayas-chateauneuf-du-pape-reserve-blanc/w/87554?year=2012&price_id=36237475
147,Pinot Grigio 2017,Mastri Vernacoli,Italy,3.5,769,"31,252",https://www.vivino.com/mastri-vernacoli-pinot-grigio/w/8916?year=2017&price_id=19336675
148,Reserve Chardonnay 2000,Robert Mondavi Winery,United States,4.0,762,"94,172",https://www.vivino.com/robert-mondavi-winery-reserve-chardonnay/w/2441?year=2000&price_id=14541575
149,Rotenberg La Colline Rouge 2008,Marcel Deiss,France,4.1,750,"170,650",https://www.vivino.com/marcel-deiss-rotenberg-la-colline-rouge/w/93835?year=2008&price_id=35372053
150,Rotenberg La Colline Rouge 1994,Marcel Deiss,France,4.1,750,"296,783",https://www.vivino.com/marcel-deiss-rotenberg-la-colline-rouge/w/93835?year=1994&price_id=35329514
151,Rotenberg La Colline Rouge 2006,Marcel Deiss,France,4.1,750,"179,302",https://www.vivino.com/marcel-deiss-rotenberg-la-colline-rouge/w/93835?year=2006&price_id=35723431
152,Organic Chardonnay 2022,Greystone,New Zealand,4.1,733,"45,348",https://www.vivino.com/greystone-organic-chardonnay-waipara/w/2105666?year=2022&price_id=35938637
153,Anthìlia 2022,Donnafugata,Italy,3.9,728,"20,137",https://www.vivino.com/donnafugata-anthilia/w/7662?year=2022&price_id=36485565
154,Grigorescu Gewürztraminer Demisec 2010,Jidvei,Romania,3.6,714,"29,168",https://www.vivino.com/jidvei-grigorescu-gewurztraminer-demisec-tarnave-white-wine/w/1498181?year=2010&price_id=14650386
